GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java,backend.academy,Game,32,0,0,0,9,0,2,0,2,0
java,backend.academy,Main,7,0,0,0,3,0,1,0,1,0
java,backend.academy,Difficulty,39,0,3,0,7,0,4,0,2,0
java,backend.academy,StringData,2441,0,0,0,3,0,1,0,1,0
java,backend.academy.input,Input,144,0,16,0,40,0,13,0,5,0
java,backend.academy.input,ThemeValidator,23,0,2,0,7,0,4,0,3,0
java,backend.academy.input,LivesIntervalValidator,23,0,4,0,5,0,4,0,2,0
java,backend.academy.input,DifficultyValidator,30,0,0,0,7,0,2,0,2,0
java,backend.academy.input,LetterValidator,20,0,6,0,4,0,5,0,2,0
java,backend.academy.hangman,HangmanLogic,29,91,7,7,5,17,8,9,4,6
java,backend.academy.hangman,Hangman,69,0,6,0,21,0,6,0,3,0
java,backend.academy.hangman,HangmanUI,170,0,14,0,55,0,19,0,9,0
java,backend.academy.wordscollection,WordsList,51,0,2,0,10,0,3,0,2,0
java,backend.academy.wordscollection,Word,0,24,0,0,0,8,0,4,0,4
java,backend.academy.wordpick,WordPickUI,43,0,2,0,14,0,4,0,3,0
java,backend.academy.wordpick,WordPicker,29,0,0,0,7,0,2,0,2,0
java,backend.academy.wordpick,WordPickLogic,3,59,0,2,1,16,1,6,1,5
